epoch,train_loss,val_loss,val_auc,val_acc
1,0.46813859332066315,0.38607215193601757,0.47368421052631576,0.2692307692307692
2,0.4423236336845618,0.39098747876974255,0.31578947368421056,0.2692307692307692
3,0.4629646035341116,0.39851007553247303,0.3458646616541353,0.2692307692307692
4,0.47446611982125503,0.4100873378606943,0.3533834586466166,0.2692307692307692
5,0.43742945847602993,0.4099712807398576,0.3909774436090226,0.2692307692307692
6,0.44201083252063167,0.41321369547110337,0.443609022556391,0.2692307692307692
7,0.43775017158343243,0.4300864109626183,0.5112781954887218,0.2692307692307692
8,0.4282485802586262,0.4113107736294086,0.5338345864661654,0.2692307692307692
9,0.4378430637029501,0.4229366091581491,0.5338345864661654,0.2692307692307692
10,0.4329190838795442,0.41317734122276306,0.5338345864661654,0.2692307692307692
11,0.43676393593733126,0.44210430062734163,0.5563909774436091,0.2692307692307692
12,0.40520976885006976,0.43457988133797276,0.5488721804511278,0.2692307692307692
13,0.4384187494332974,0.43268730548711926,0.5112781954887218,0.2692307692307692
14,0.41565665144186753,0.4206475546726814,0.49624060150375937,0.2692307692307692
15,0.42633669078350067,0.42892271738785964,0.47368421052631576,0.2692307692307692
16,0.4265683041169093,0.4289356447183169,0.42105263157894735,0.2692307692307692
17,0.4144887929925552,0.43311288265081554,0.5112781954887218,0.2692307692307692
